Text,Prediction,Ground Truth
"Automakers in the United States repaired more than 7.2 million defective Takata air bag inflators in 2018, as companies have ramped up efforts to track down parts in need of replacement, a report from an independent monitor released on Friday said. Automakers boost Takata air bag recall completion rates",1,-1
Boeing Co looked poised to beat European arch-rival Airbus for aircraft orders in 2018 by a wide margin after clinching billions of dollars in new business from Nigeria's Green Africa Airways and Saudi Arabia's flyadeal. Boeing heads for expected 2018 plane order victory over Airbus,1,1
The dollar gained on Friday as investors sought the currency's safety amid persistent equity market volatility and a possible U.S. government shutdown. Dollar rallies from post-Fed losses as U.S. shutdown likely,1,-1
"The Federal Reserve is listening to the concerns of markets and open to changing its policy views next year, one its most influential members said on Friday, even while he stood by plans for interest-rate hikes and further paring of the Fed's bond portfolio. Williams soothes markets, says Fed listening and could change policy",1,1
"As the Nasdaq Composite continues to stumble its way toward a bear market, biotech shares are worsening the collapse of the tech-heavy index. Biotech swoon adds to Nasdaq's pain as bear market looms ever closer",-1,-1
"The U.S. economy slowed slightly more than previously estimated in the third quarter and momentum appears to have moderated further in the fourth quarter, with new orders and shipments of manufactured capital goods falling in November. U.S. third-quarter growth trimmed; business spending slowing",-1,-1
World stock markets continued a week-long sell-off on Friday as the threat of a U.S. government shutdown and further hikes in U.S. borrowing costs compounded investor anxiety that global economic growth is slowing. Global stock indexes slide as U.S. government shutdown looms,-1,-1
"Nike Inc shares rose 9 percent on Friday, after the company's solid quarterly results eased worries that escalating trade tensions between Washington and Beijing would weigh on China demand and hurt the sportswear maker's growth story. Nike shares rise as strong quarterly results allay China demand concerns",1,1
"A Paris court fined French oil and gas group Total 500,000 euros ($570,000) on Friday for bribing foreign public officials in a case related to Iranian contracts in 1997. French court fines oil group Total in Iran bribery case",-1,-1
"Since De Beers abandoned its decades-old policy of refusing to sell lab-grown diamonds as jewelery, the price gap between man-made stones and natural gems has widened - and the difference is set to get even bigger. Lab-grown diamond prices slide as De Beers fights back",-1,-1
"Cargill, Bunge and other global traders have halted food supply deals with Iran because new U.S. sanctions have paralyzed banking systems required to secure payments, industry and Iranian government sources say. Exclusive: Global traders halt new Iran food deals as U.S. sanctions bite - sources",-1,-1
"The pace of U.S. vehicle sales is set to slow for the sixth straight month in December despite aggressive discounts from manufacturers, according to industry consultants J.D. Power and LMC Automotive. U.S. auto sales seen falling 1 percent in Dec - J.D. Power, LMC",-1,-1
"The U.S. economy slowed in the third quarter a bit more than previously estimated, but the pace was likely strong enough to keep growth on track to hit the Trump administration's 3 percent target this year, even as momentum appears to have moderated further early in the fourth quarter. U.S. third-quarter economic growth revised down to 3.4 percent",-1,-1
"A decade ago, Canada's oil sector was growing so fast it was predicted to become a global energy superpower, but a series of political missteps and formidable environmental activism has created a dysfunctional system requiring OPEC-style government intervention to move its oil to market. Political stumbles, savvy activists knock Canada's oil sector to its knees",-1,-1
Plans to build another privately-financed power station in Nigeria to help end decades of chronic blackouts have been delayed because of concerns about persistent shortfalls in payments for electricity across the sector. Exclusive: Nigerian energy sector's crippling debts delay next power plant,-1,-1
"German carmaker Volkswagen will write off its investment in Gett after the Israel-based ride hailing app failed to gain ground on bigger rivals Uber [UBER.UL], Lyft and Didi, weekly Der Spiegel reported on Friday. Volkswagen to write off Gett investment - Spiegel",-1,-1
"Ford Motor Co said Friday it is recalling 874,000 pickup trucks in North America with engine block heaters for fire risks. Ford recalling 874,000 pickup trucks in North America for fire risks",-1,-1
"Tencent Holdings Ltd's shares surged on Friday after a local regulatory official said some new video games had been cleared for sale, ending a lengthy freeze in approvals that has spooked players in the world's largest gaming market. Tencent shares spike as China watchdog flags video game approvals",1,1
"S&P 500 e-minis logged their biggest losing streak in seven years on Friday, dropping about 0.6 percent on growing worries of slowing global growth and the threat of a U.S. government shutdown. Futures extend slide on growth fears, government shutdown threat",-1,-1
"Taiwan's Foxconn , Apple Inc's iPhone assembler, is in the final stages of talks with the local government of the Chinese city of Zhuhai to build a chip plant there with a total investment of about $9 billion, the Nikkei business daily reported on Friday. Foxconn to build $9 billion chip plant in China with local govt: Nikkei",1,1
"Japanese prosecutors arrested Nissan Motor Co Ltd's ousted chairman Carlos Ghosn again on Friday on new allegations of making Nissan shoulder $16.6 million in personal investment losses, dashing chances he would be released on bail before Christmas. Ghosn re-arrested on fresh allegations, likely to spend Christmas in detention",-1,-1
"SoftBank Group Corp is nearing a deal to invest $1.5 billion in Grab, three times a previously expected $500 million, as Southeast Asia's biggest ride-hailing firm looks to expand, a person with knowledge of the matter said. SoftBank's Vision Fund nearing $1.5 billion investment in SE Asia's Grab: source",1,1
"Japanese prosecutors arrested Nissan's ousted chairman Carlos Ghosn for a third time on Friday, accusing him of aggravated breach of trust in transferring personal investment losses to the automaker. Explainer: Arrested again: What are the new allegations against Nissan's Ghosn?",-1,-1
"China, the world's top oil importer, is set to start 2019 buying little or no crude from the United States despite a three-month truce in a trade scrap between the two nations, with relatively high freight costs and political uncertainty choking demand. Crude refusal: China shuns U.S. oil despite trade war truce",-1,-1
"China plans to make a third round of U.S. soybean purchases within days, two sources familiar with the matter said on Thursday, after a trade war truce between Washington and Beijing this month triggered two waves of buying. China poised to buy more U.S. soybeans: sources",1,1
"Bangladesh will collect and test samples of Johnson & Johnson's Baby Powder for asbestos in a couple of days, its main testing authority said on Friday, after a Reuters report last Friday that the firm knew for decades that cancer-causing asbestos could be found in the product. Exclusive: Bangladesh says to collect, test samples of Johnson & Johnson Baby Powder",-1,-1
"India's drugs regulator has ordered Johnson & Johnson to stop manufacturing its Baby Powder using raw materials in two of its Indian factories until test results prove they are free of asbestos, a senior official said on Thursday. Indian regulator orders J&J to stop using raw material to make Baby Powder in India",-1,-1
"Dealmakers celebrating their third-strongest year on record are fretting 2019 will herald a steep drop in mergers and acquisitions worldwide, as market jitters and economic uncertainty take their toll. Dealmakers brace for slowdown after third-strongest M&A year",-1,-1
"Wall Street posted slight gains on Thursday and the Dow hit another record high close, with financials rising ahead of profit reports due Friday from several big U.S. banks. Wall Street rises as financials lead before earnings",1,1
"SoundCloud, the world's biggest music-streaming service, is still struggling to find a business model - it now has enough cash to last until fourth quarter, after laying off 40 percent of its staff, a representative said on Thursday. Music streamer SoundCloud has cash until fourth quarter after layoffs",-1,-1
U.S. Energy Secretary Rick Perry promised on Thursday to promote cross-border electricity trade and investment with Mexico and said he expected talks aimed at updating the North American Free Trade Agreement (NAFTA) to proceed quickly. U.S. energy secretary in Mexico eyes cooperation,1,1
"Upbeat data helped send world shares to a fourth all-time high in less than a month on Thursday as Wall Street edged higher in anticipation of solid earnings, while crude oil gained on evidence of stronger demand in China. World shares rise to fresh peak; oil gains",1,1
"Delta Air Lines Inc on Thursday reported a 21 percent drop in second-quarter profit because of sharply higher labor and fuel costs, despite higher passenger unit revenue, sending its shares down 2 percent. Delta's profit tumbles on higher costs; passenger unit revenue rises",-1,-1
"Delta Air Lines will not delay its 2018 deliveries of CSeries planes from Canada's Bombardier Inc , the carrier's chief executive said on Thursday, following an anti-dumping complaint by Boeing Co against the jets. Boeing trade complaint won't slow CSeries deliveries: Delta CEO",-1,1
"Southwest Airlines Co said on Wednesday it won approval from the U.S. Federal Aviation Administration to begin flying to Hawaii from California, clearing the way for the low-cost carrier to move forward with a key part of its 2019 growth plan. Southwest Airlines wins U.S. approval for Hawaii service",1,1
"Global stock indexes ended with mostly slight losses on Wednesday after U.S. Trade Representative Robert Lighthizer said it was too early to predict an outcome in U.S.-China trade talks, although a jump in oil prices lifted shares of energy companies. Global stocks slip after U.S. trade official's comments but energy up",-1,-1
"FedEx Corp this summer plans to begin testing a robot to handle home deliveries for partners ranging from Walmart Inc to Pizza Hut. FedEx partners with Walmart, Pizza Hut to test last-mile delivery robot",1,1
"The United States wants meetings as regularly as once a month to ensure enforcement of any potential trade pact with China, U.S. Trade Representative Robert Lighthizer said on Wednesday. U.S. wants regular meetings to ensure trade deal enforcement: Lighthizer",1,1
"Oil futures gained about 2 percent on Wednesday after U.S. crude inventories unexpectedly plummeted and as Saudi Arabia brushed aside comments from U.S. President Donald Trump seeking to keep oil prices from climbing. Oil rises 2 percent as U.S. crude stocks plunge, OPEC brushes off Trump",1,1
"Amazon.com Inc, Comcast Corp and Electronic Arts Inc submitted initial bids for the holding firm of South Korea's biggest gaming firm Nexon, Maeil Business Newspaper said on Wednesday, citing investment banking sources. Amazon, Comcast, Electronic Arts submit bids for Nexon holding firm-Maeil report",1,1
"Shares in Air France-KLM fell sharply as the Dutch government amassed a 14 percent stake in the airline to counter French influence, in a surprise move highlighting tensions over the company's strategic direction. Air France-KLM shares slump on surprise Dutch stake buy",-1,-1
"The U.S. goods trade deficit widened sharply in December as slowing global demand and a strong dollar weighed on exports, another sign that economic growth slowed in the fourth quarter. U.S. goods trade deficit deteriorates; factory orders edge up",-1,-1
"Best Buy Co Inc shares surged 16 percent on Wednesday after it gave an upbeat profit forecast for the year and reported better-than-expected holiday-quarter sales. Best Buy shares surge 16 percent on upbeat profit view, robust holiday quarter",1,1
"Qatari, Chinese and Japanese investors all sought ""extras"" from Barclays as the British bank raised billions of pounds at the height of the credit crisis in 2008, a landmark London criminal trial heard on Wednesday. Qatar, China, Japan sought 'extras' after Barclays 2008 fundraising: court",-1,-1
"Qatar Airways said on Wednesday that it had decided not to go ahead with routes to some planned destinations following a Gulf boycott, particularly in West and Central Africa, the company said in a Twitter post. Qatar Airways suspended some destinations planned for Africa after Gulf boycott",-1,-1
"U.S. home improvement chain Lowe's beat Wall Street earnings forecasts on Wednesday, and predicted that more Americans would renovate their houses this year rather than buy a home in a market where prices are rising. Lowe's predicts more home renovations this year after strong profit",1,1
"The Dutch government's decision to increase its stake in Air France KLM was both ""incomprehensible"" and unexpected, said French Finance Minister Bruno Le Maire on Wednesday. French Finance Minister: Dutch move on Air France KLM was 'incomprehensible'",-1,-1
"Campbell Soup Co on Wednesday reported better-than-expected adjusted earnings, helped by its acquisitions of Snyder's-Lance and Pacific Foods. Campbell Soup beats earnings estimates, shares rise",1,1
Mylan NV shares slid 10 percent on Wednesday after the generic drug maker predicted poor 2019 earnings that led some Wall Street analysts to wonder if its finances would worsen further. Mylan shares sink as bleak profit outlook sparks growth concerns,-1,-1
"Ford Motor Co's joint venture with China Changan Automobile Group has decided not to renew its contract with some agencies supplying it with workers, as carmakers struggle to cope with slumping sales in China. Ford's China JV ends some contracts with job agencies as sales fall",-1,-1
"The European Union should set up a police force to investigate tax evasion and financial crime and create a watchdog to counter money-laundering, EU lawmakers said in a report on Wednesday, which accuses seven member states of acting as tax havens. EU needs financial police, money-laundering watchdog: lawmakers",-1,1
"Off-price apparel retailer TJX Cos Inc reported better-than-expected quarterly same-store sales on Wednesday, as steep discounts drove more shoppers to its T.J. Maxx and Marshalls stores during the holiday season. TJX holiday quarter same-stores sales beat estimates",-1,1
"Volkswagen said on Wednesday it had struck a deal with Microsoft to cooperate on cloud computing in China and the United States, as part of its drive to offer connected vehicle services across the globe. Volkswagen deepens cloud computing partnership with Microsoft",1,1
"Bayer's $63 billion purchase of U.S. seeds maker Monsanto made its mark on the German company's fourth quarter earnings on Wednesday, lifting profit and boding well for the peak season of its enlarged agriculture business. Bayer reaps profit lift from Monsanto seeds, consumer health",1,1
A federal judge on Tuesday ordered Tesla Inc Chief Executive Elon Musk to explain by March 11 why he should not be held in contempt for violating his fraud settlement with the U.S. Securities and Exchange Commission. Tesla's Musk must address SEC contempt bid as he calls agency 'broken',-1,-1
"Ahold Delhaize, which operates supermarkets in Europe and the United States, is on track to meet a 20 percent U.S. online sales growth target this year as it opens automated grocery distribution points along the East Coast, its chief executive said on Wednesday. Ahold says on course to meet U.S. online sales growth targets",1,1
"Harry Potter and Star Wars building sets helped Lego return to growth in 2018, along with strong sales in China, where the privately-owned Danish toymaker plans to open new stores. Wingardium Leviosa! Harry Potter magic helps Lego lift sales",1,1
"China's CDH Investments is aiming to raise nearly $1 billion in dollar and yuan funds through its venture and growth capital arm to invest in sectors including healthcare and logistics, said people with direct knowledge of the matter. China's CDH targets raising $1 billion in venture capital arm: sources",1,1
"Vietnamese carriers VietJet and Bamboo Airways formally announced on Wednesday deals with Boeing Co to buy 110 planes worth more than $15 billion as the fast-growing companies look to expand their operations in Asia and beyond. Vietnamese carriers VietJet, Bamboo unveil Boeing deals worth $15 billion",1,1
"Hyundai Motor Co said on Wednesday it plans to boost the core automotive businesses’ operating profit margin to 7 percent by 2022, compared with 2.1 percent in 2018, as part of its mid- to long-term plan. Hyundai Motor says to lift auto operating margin to 7 percent by 2022",1,1
"China's steel mills may have taken a wrong turn by adding millions of tonnes of new high-end capacity just as the country's car sector, a key steel consumer, undergoes its first contraction in decades, cutting metal demand. Hot-rolled mess: China's steelmakers hit the skids as car sales slow",-1,-1
"Sunrise Communications has entered ""advanced discussions"" to buy Liberty Global's Swiss business in a deal which values the internet and digital television provider at 6.3 billion Swiss francs ($6.30 billion). Sunrise in advanced talks for Liberty Global's $6.3 billion Swiss unit",1,1
U.S. President Donald Trump said this week he may soon sign a deal with Chinese President Xi Jinping to end a trade war blamed for slowing global economic growth and disrupting markets. U.S.-China trade: tariff and non-tariff barriers,1,1
"After last month's deadly tailings dam disaster at a Vale SA facility in Brazil, Freeport-McMoRan Inc Chief Executive Richard Adkerson sent a memo to his 29,000 employees telling them to immediately report any safety concerns about the scores of dams his company operates. Rattled by Vale disaster, mining CEOs move to change industry",-1,-1
Nevada casino regulators said on Tuesday they had fined Wynn Resorts Ltd $20 million in a settlement with the company involving misconduct claims against former chief executive Steve Wynn. Nevada regulators fine Wynn Resorts $20 million in settlement,-1,-1
"Silicon Valley billionaire Elon Musk laid into the U.S. Securities and Exchange Commission again on Tuesday, after it accused the Tesla Inc chief executive officer of violating the terms of a settlement last year of fraud charges against him. Tesla's Musk calls SEC 'broken' in new Twitter spat",-1,-1
"The Federal Reserve is in ""no rush to make a judgment"" about further changes to interest rates, Fed Chairman Jerome Powell told U.S. lawmakers on Tuesday as he spelled out the central bank's approach to an economy that is likely slowing. Fed's Powell says 'no rush' to hike rates in 'solid' but slowing economy",1,-1
"Papa John's International Inc forecast better-than-feared North American same-store sales on Tuesday, as the U.S. pizza chain's investments on rebranding following its months-long spat with founder John Schnatter pay off. Papa John's gives upbeat full-year forecast after rocky 2018, shares rise",1,1
"General Electric Co has too much debt and needs to reduce it ""thoughtfully and soon"", Chief Executive Officer Lawrence Culp said in a letter to shareholders on Tuesday. GE CEO says company needs to reduce debt 'thoughtfully and soon'",-1,-1
Wall Street's three major indexes fell slightly after a choppy session on Tuesday as investors eyed mixed U.S. economic data and corporate news and waited for clarity on issues such as the U.S.-China trade talks. Wall St. edges lower in choppy session,-1,-1
"A manager at Brazilian iron ore miner Vale SA told authorities that the company's executive board knew there had been a ""decrease in security"" at the dam that burst in January, killing hundreds, according to a newspaper report on Tuesday. Manager at Brazil's Vale told executives of dam risks: newspaper",-1,-1
U.S. President Donald Trump's decision to delay raising tariffs on $200 billion worth of Chinese goods has helped push global stock markets broadly higher as investors hope for a resolution in the trade war between the world's two largest economies. Why some U.S. fund managers like China regardless of trade deal,1,1
"Rising risks and recent soft data shouldn't prevent solid growth for the U.S. economy this year, but the Federal Reserve will remain ""patient"" in deciding on further interest rate hikes, Fed Chairman Jerome Powell said on Tuesday. Instant View: Powell - Fed remains patient deciding on further hikes",1,1
"An Ethiopian Airlines executive questioned whether Boeing had told pilots enough about ""aggressive"" software that pushes a plane's nose down, a focus of investigation into a deadly crash in Ethiopia this month. Ethiopian Airlines questions Boeing's 'aggressive' software",-1,-1
American Airlines said Sunday it will extend flight cancellation through April 24 because of the grounding of the Boeing 737 MAX after two fatal crashes since October and cut some additional flights. American Airlines extends Boeing 737 MAX flight cancellations through April 24,-1,-1
"Bayer's management retains the backing of its supervisory board, its chief executive said, after pressure on the company increased when a second jury in the United States ruled its glyphosate-based Roundup weed killer caused cancer. Bayer CEO says his team retains backing of supervisory board: report",1,-1
"Ahead of fresh high-level trade talks this week, China is not conceding to U.S. demands to ease curbs on technology companies, the Financial Times reported on Sunday, citing three people briefed on the discussions. China refuses to concede on U.S. demands to ease curbs on tech firms: FT",-1,-1
Turkey's banking watchdog said it had launched an investigation into JP Morgan and other banks over complaints it received after the lira plunged more than 4 percent and the main share index fell sharply on Friday. Turkish watchdogs to probe JP Morgan after lira plunge,-1,-1
"British entrepreneur Mike Lynch vigorously denies new U.S. criminal charges against him, his spokesman said on Saturday ahead of a court case over the sale of his firm Autonomy which will begin in London next week. Ex-Autonomy CEO Lynch denies new U.S. charges against him",-1,-1
"As Wall Street braces for what may be the first U.S. profit decline since 2016, investors say the first quarter may not mark the low point for 2019 earnings. Wall Street Week Ahead: Doubts increase that first quarter will be earnings low point",-1,-1
"Pinterest Inc, the owner of the image search website known for the food and fashion photos that its users post, filed for an initial public offering with U.S. regulators on Friday, looking to tap into a red-hot market for new stock offerings. Image sharing website Pinterest files for IPO",1,1
"A U.S. lawmaker on Friday urged current or former Boeing Co and Federal Aviation Administration (FAA) employees to come forward with any information about the certification program for the 737 MAX, which has suffered two fatal crashes in five months. U.S. lawmaker seeks Boeing whistleblowers, some MAX 737 orders in jeopardy",-1,-1
"Wall Street stocks sold off sharply on Friday, with all three major U.S. stock indexes posting their biggest one-day percentage declines since Jan. 3, as weak factory data from the United States and Europe led to an inversion of U.S. Treasury yields, fueling fears of a global economic downturn. Wall Street tumbles on global economic slowdown fears",-1,-1
"Australian shares are set to open higher, bolstered by a rally on Wall Street on Friday Wall Street rise to drive ASX higher",1,1
"The Nikkei 225 average climbed 133.65 points, or 0.62 percent, to end at 21,584.50. On Friday, the key market gauge rose 163.83 points. Tokyo stocks rise further on Wall Street advance",1,1
The Dow Jones Industrial Average and S&P 500 are both 4 percent away from their all-time highs. Better economic data needed before Wall Street can rise back to all-time highs.,-1,1
Stocks closed higher on the first day of the fourth quarter as investors cheered news of Canada joining a trade deal with the United States and Mexico. Dow rises nearly 200 points after the US and Canada strike a deal to replace NAFTA,1,1
U.S. stocks rose on Monday after U.S. President Donald Trump and Chinese President Xi Jinping agreed to a 90-day cease-fire in the trade war that has weighed heavily on global stock markets for most of 2018. Dow jumps more than 250 points on US-China trade truce,1,1
"The Toronto Stock Exchange’s S&P/TSX rose 21.41 points, or 0.14 percent, to 15,484.55. Leading the index were Precision Drilling Corp, up 13.9 percent after announcing a debt repayment plan, Labrador Iron Ore Royalty Corp, up 12.5 percent, and Ivanhoe Mines Ltd , higher by 8.8 percent. STOCKS TSX rises 0.14 percent",1,1
"Canada’s main stock index rose on Thursday, boosted by gains in shares of metal miners fueled by rally in gold prices. STOCKS TSX rises as material stocks rally",1,1
"Boeing Co has been awarded a $4.1 billion U.S. defense contract related to the expansion and improvement of the ground-based midcourse missile defense system, the Pentagon said on Friday. Boeing Co wins $4.1 billion U.S. defense contract: Pentagon",1,1
U.S. prosecutors on Friday added three new criminal charges to their indictment against British entrepreneur Mike Lynch related to the $11.1 billion sale of his software company Autonomy to Hewlett-Packard in 2011. U.S. adds criminal charges against ex-Autonomy CEO Lynch,-1,-1
"Stocks around the world fell and U.S. Treasuries yields sent warning signals for a possible recession on Friday after weaker-than-expected U.S. and European data intensified fears of a global economic slowdown. U.S. Treasuries signal trouble, stocks fall on global growth worries",-1,-1
U.S. markets received a clear warning of coming recession on Friday when the spread between yields on three-month Treasury bills and 10-year notes fell below zero for the first time since 2007 after U.S. manufacturing data missed estimates. Yield curve inverts for first time since 2007 on global growth worries,-1,-1
"U.S. manufacturing activity unexpectedly cooled in March, a troubling sign for the economy although the housing market showed signs lower interest rates were giving it a boost. In foreboding sign for U.S. economy, factory sector softens",-1,-1
"Growth in China’s increasingly important services sector accelerated in December at its fastest pace in four months, adding to signs of a modest year-end revival in the world’s second-largest economy. China services growth adds to economic revival hopes",1,1
"Today’s release of the latest economic growth figures show that our economy is demonstrably on the mend, but the strength of the recovery remains to be seen. Gross domestic product grew at an annual rate of 2 percent between July and September this year. Latest GDP Figures Show Business Investment Powering Economic Growth",1,1
"During its decades of rapid growth, China thrived by allowing once-suppressed private entrepreneurs to prosper, often at the expense of the old, inefficient state sector of the economy. China Fortifies State Businesses to Fuel Growth",1,1
Stock markets have rallied after Ireland's government agreed to an estimated £77billion bail-out from the European Union. Ireland bail-out: stocks rise after bail-out accepted,1,1
"President Donald Trump's top economic advisor Larry Kudlow on Friday said he believes the ""underlying"" U.S. economy ""looks very good."" Larry Kudlow: 'I don't think the underlying economy is slowing'",1,1
"The Canadian economy grew by a surprise 0.3 percent in January, reversing recent declines as the construction and manufacturing sectors picked up, and likely leaving the Bank of Canada on the sidelines over the coming months. Canada economy posts surprise growth in Jan; reverses 2 monthly declines",-1,1
"The report from the Commerce Department on Friday also showed price pressures muted in January, with a measure of overall inflation posting its smallest annual increase in nearly 2-1/2 years. U.S. consumer spending soft, inflation benign as economy slows",-1,-1
"The Chinese tech giant said Friday that 2018 earnings jumped by 25% to 59.3 billion yuan ($8.7 billion). Sales fell short of an earlier company forecast, but still rose by 19.5% to 721 billion yuan ($105 billion). Huawei's profits jump by 25% despite US efforts to curtail its business",1,1
"The U.S. economy is regaining traction as the year winds down, boosted by an accelerating business sector and a modest pickup among consumers. U.S. Economy Grew at 4.6% Rate in Second Quarter",1,1
"The huge mills along the Penobscot River roared virtually nonstop for more than a century, turning the dense Maine forests into paper and lifting the thousands of men who did the hot and often backbreaking work into the middle class. U.S. disability rolls swell in a rough economy",-1,-1
"The global economy is becoming a more integrated and competitive neighborhood. Driven by new investments and the jobs that come with them, the expansion of the global economy into coordinated production and supply chains brings both benefits and opportunities. Offshoring Work Is Taking a Toll on the U.S. Economy",1,1
"The U.S. economy grew at its fastest rate in more than a decade between the months of July through September, according to government data released Tuesday morning, marking the latest sign that a once-sluggish recovery is now running at full speed. U.S. economy grew at a rate of 5 percent in third quarter, the fastest in more than a decade",1,1
"The ranks of U.S. public companies grew last year for the first time since the go-go days of the Internet boom, getting a long-awaited boost from an expanding economy and renewed investor interest in U.S. stocks. U.S. Public Companies Rise Again",1,1
"Finally. Stocks wrapped up a stellar first quarter Thursday with the S&P 500 finishing at a new high, after flirting with the milestone for weeks. What a quarter! Dow and S&P at record highs",1,1
"U.S. stocks shot up on Monday after the prospects for an imminent U.S. attack on Syria began to fade, while sentiments that Federal Reserve stimulus measures may stay in place boosted spirits as well. U.S. stocks rise as Syria attack concerns fade; Dow rises 0.94%",1,1
" If you put your money in stocks in 2014, you were a savvy investor. The Dow finished the year up 7.5%, the S&P 500 rose 11.4%, and the tech-heavy Nasdaq soared 13.4%. The bull market lives: Stocks rise 11.4% in 2014",1,1
"Japan’s economy expanded at a rapid clip at the start of the year, the first hard evidence that Prime Minister Shinzo Abe’s sweeping stimulus is beginning to rouse consumers and businesses into action even as risks loomed in the horizon. Japan's first-quarter growth spurt shows early benefits of Abe's policy gamble",1,1
"Unfortunately, like most emerging market nations, Turkey's economic boom has devolved into a dangerous bubble that is similar to the bubbles that caused the downfall of Western economies just six years ago. Why The Worst Is Still Ahead For Turkey's Bubble Economy",-1,-1
he standard future scenario in their computer projections showed positive growth in both the population and the economy until the mid-21st century Reaching its limits: can the global economy keep growing?,1,1
"Japan's economy unexpectedly shrank for the second consecutive quarter, leaving the world's third largest economy in technical recession. Japan's economy makes surprise fall into recession",-1,-1
Economists estimate Kosovo's economy must grow by 8 percent each year to absorb the young people entering the job market and hold unemployment steady. Kosovo's Economy Still Struggling Five Years After Independence,-1,1
Prominent Croatian economists are calling for an about turn in the state's economic policy after the country landed a dismal credit rating. Croatia's next crisis: Its economy is officially junk,-1,-1
"The main street, once swarming with International Business Machines. IBM in 1980 would now be sitting on more than $400,000 worth of stock, a 25-fold return. to define today's economy — that a company's primary purpose is to maximize. Maximizing shareholder value: The goal that changed corporate",1,1
Wall Street is home to the venerable New York Stock Exchange (now called NYSE ... Increased business investment leads to higher economic output and. Why Wall Street Is A Key Player In The World's Economy,1,1
"Gig economy companies also have not proved a business .  that people will now own shares of the company in their mutual funds and stock .  Lyft's Shares Jump in Trading Debut, Cementing Rise of the Gig . ",1,1
"UK business investment slide, but trade war optimism boosts stocks . . despite lingering concerns over the health of the global economy. UK business investment slide, but trade war optimism boosts stocks . ",-1,1
Hong Kong (CNN Business) Worries over slowing economic growth are .  Fears about a severe global economic slowdown hit stocks in .  Stocks in Asia and Europe sink on fears of slowing growth,-1,-1
New York: US stocks ended higher as investors continued to keep a .  trade updates and digested a batch of encouraging economic data. US stocks end week on high note,1,1
"Also, stocks were due for a bounce after a fourth-quarter rout that had left .  and China took steps to stimulate its flagging economy, he said. .  China, for example, has moved to cut taxes and boosted credit for small business. Stock market at crossroads after strongest quarterly rise in a decade",1,-1
"In a new article, he warns that the economy may be on the edge of a .  Americans' present wealth — stocks, homes and private businesses .  Robert Samuelson: Has the next economic bubble arrived?",-1,-1
"Stocks rose on Friday amid renewed optimism on the progress of .  financial markets and souring business and consumer sentiment. .  The reason why is, while stocks got cheap for a brief amount of time, the economy is not .  S&P 500 notches best start to a year since 1998, Dow rises more than . ",1,1
Concerns about the health of the world economy heightened last week after remarks by the US Federal Reserve indicated that it would not .  Asian stocks slump as US recession fears grip markets,-1,-1
"The bond market smells a recession. On Friday, stock investors caught a whiff, too. Economic forecasters and Wall Street traders have been .  Stocks Fall as Bond Market Flashes a Recession Warning",-1,-1
"Japan led the decline, though stocks fell broadly across Asia. .  European markets, which fell on Friday after some dour economic news, lost .  Global Stocks Fall as Pessimism Continues",-1,-1
"Investors dumped Turkish bonds and stocks on Wednesday after the .  But the global economy is slowing, central banks have shelved plans to raise . . He said decisions by banks on liquidity were business-based and in line .  Turkish stocks tumble as crackdown on lira speculation spooks . ",-1,-1
"New York (CNN Business) Wall Street was a winner's circle this quarter. The market surged on hopes that the US economy and corporate profits .  And big tech stocks, including the favorite FAANG fivesome of Facebook (FB), .  Wall Street enjoyed a huge rally this quarter. But there were some losers",1,1
Stocks fell Monday after weaker-than-expected economic data and as US-China trade optimism cooled. Financial markets had been higher .  Stocks sink after economic data disappoints,-1,-1
"NEW YORK - Worries about economic growth prospects hit global stock markets on Friday, causing sharp price drops on both sides of the .  Economic gloom hits world stock markets",-1,-1
"Another Chinese name, live-streaming game company Huya (HUYA), .  In the U.S. economy, new home sales in February came in far stronger .  Lyft IPO Gives Major Indexes A Lift; Chinese Stocks Jump On Trade . ",1,1
"The largest bank in Europe lowered its stance on Singapore stocks to .  bases for global banks and major businesses seeking opportunities in Asia. .  focus on the domestic market have failed to lift the economy, the bank said .  HSBC downgrades stocks in Singapore and Hong Kong",-1,-1
"The Standard & Poor's 500-stock index fell 0.8 percent in the five days, .  plunge since January after weak economic data from Germany and .  Stocks slip again on weak data",-1,-1
"""How long the economic expansion can continue .  depends on sustaining a .  According to Russell's Business Cycle Index, the odds of recession over the .  Major stock market averages are actually negative since the Fed .  If a recession really is coming, here's what Powell and Trump can do . ",-1,-1
"Stocks began their rally against a bleak economic backdrop back in . . own are large-company stocks, especially large technology companies,"" .  10 years after stocks hit bottom: What we learned and what we still don . ",1,1
Confidence in the U.S. economy is strong with CFOs across all global .  more CFOs continue to believe the renewed rally in stocks won't last. Nearly 100% of corporations say there will be no US recession this . ,1,1
"Overstock has put off plans to sell its flagship retail business, delaying a large cash infusion that it was hoping to get for its portfolio of .  Overstock Delays E-Commerce Business Sale, Deferring Cash for . ",-1,-1
"Stocks on Wednesday climbed back from their epic Christmas Eve plunge as all .  White House economic adviser Kevin Hassett assured reporters that Federal .  Hassett, in an appearance on Fox Business Network, also said .  Dow soars more than 1050 points, its biggest point gain in history . ",1,1
The market turbulence of the past weeks resumed Friday as stocks bobbed up and .  [Fed cuts its outlook for U.S. economy; stocks plunge]. US stocks suffer amid DC tumult; Dow has worst week in a decade,-1,-1
